year,sex,name,n,prop
1980,M,ADAM,96,0.29
1981,M,ADAM,105,0.32
1982,M,ADAM,98,0.32
1983,M,ADAM,149,0.48
1984,M,ADAM,124,0.4
1985,M,ADAM,126,0.42
1986,M,ADAM,113,0.39
1987,M,ADAM,122,0.42
1988,M,ADAM,115,0.38
1989,M,ADAM,126,0.39
1990,M,ADAM,106,0.31
1991,M,ADAM,112,0.33
1992,M,ADAM,101,0.31
1993,M,ADAM,76,0.24
1994,M,ADAM,102,0.33
1995,M,ADAM,105,0.35
1996,M,ADAM,106,0.37
1997,M,ADAM,151,0.58
1998,M,ADAM,124,0.51
1999,M,ADAM,128,0.54
2000,M,ADAM,139,0.6
2001,M,ADAM,167,0.71
2002,M,ADAM,187,0.83
2003,M,ADAM,238,1.06
2004,M,ADAM,269,1.23
2005,M,ADAM,303,1.39
2006,M,ADAM,326,1.41
2007,M,ADAM,364,1.57
2008,M,ADAM,430,1.81
2009,M,ADAM,405,1.71
2010,M,ADAM,382,1.68
2011,M,ADAM,374,1.68
2012,M,ADAM,467,2.1
2013,M,ADAM,432,2
2014,M,ADAM,412,2.02
2015,M,ADAM,427,2.14
2016,M,ADAM,423,2.2
2017,M,ADAM,379,2.21
2018,M,ADAM,378,2.29
1980,M,ALEX,65,0.2
1981,M,ALEX,53,0.16
1982,M,ALEX,57,0.18
1983,M,ALEX,70,0.23
1984,M,ALEX,100,0.32
1985,M,ALEX,107,0.35
1986,M,ALEX,141,0.48
1987,M,ALEX,177,0.61
1988,M,ALEX,208,0.69
1989,M,ALEX,273,0.85
1990,M,ALEX,361,1.06
1991,M,ALEX,417,1.23
1992,M,ALEX,499,1.53
1993,M,ALEX,538,1.71
1994,M,ALEX,550,1.78
1995,M,ALEX,582,1.96
1996,M,ALEX,453,1.59
1997,M,ALEX,417,1.59
1998,M,ALEX,388,1.59
1999,M,ALEX,358,1.51
2000,M,ALEX,313,1.36
2001,M,ALEX,313,1.34
2002,M,ALEX,266,1.18
2003,M,ALEX,213,0.95
2004,M,ALEX,235,1.07
2005,M,ALEX,204,0.94
2006,M,ALEX,230,0.99
2007,M,ALEX,221,0.95
2008,M,ALEX,235,0.99
2009,M,ALEX,257,1.09
2010,M,ALEX,202,0.89
2011,M,ALEX,189,0.85
2012,M,ALEX,161,0.72
2013,M,ALEX,180,0.83
2014,M,ALEX,160,0.78
2015,M,ALEX,156,0.78
2016,M,ALEX,129,0.67
2017,M,ALEX,122,0.71
2018,M,ALEX,98,0.59
1980,M,ALEXANDER,32,0.1
1981,M,ALEXANDER,34,0.1
1982,M,ALEXANDER,54,0.17
1983,M,ALEXANDER,53,0.17
1984,M,ALEXANDER,73,0.24
1985,M,ALEXANDER,82,0.27
1986,M,ALEXANDER,82,0.28
1987,M,ALEXANDER,88,0.3
1988,M,ALEXANDER,111,0.37
1989,M,ALEXANDER,116,0.36
1990,M,ALEXANDER,137,0.4
1991,M,ALEXANDER,110,0.33
1992,M,ALEXANDER,101,0.31
1993,M,ALEXANDER,97,0.31
1994,M,ALEXANDER,150,0.49
1995,M,ALEXANDER,120,0.4
1996,M,ALEXANDER,118,0.41
1997,M,ALEXANDER,112,0.43
1998,M,ALEXANDER,109,0.45
1999,M,ALEXANDER,105,0.44
2000,M,ALEXANDER,79,0.34
2001,M,ALEXANDER,72,0.31
2002,M,ALEXANDER,73,0.32
2003,M,ALEXANDER,89,0.4
2004,M,ALEXANDER,97,0.44
2005,M,ALEXANDER,107,0.49
2006,M,ALEXANDER,84,0.36
2007,M,ALEXANDER,90,0.39
2008,M,ALEXANDER,97,0.41
2009,M,ALEXANDER,90,0.38
2010,M,ALEXANDER,84,0.37
2011,M,ALEXANDER,84,0.38
2012,M,ALEXANDER,69,0.31
2013,M,ALEXANDER,91,0.42
2014,M,ALEXANDER,89,0.44
2015,M,ALEXANDER,90,0.45
2016,M,ALEXANDER,73,0.38
2017,M,ALEXANDER,65,0.38
2018,M,ALEXANDER,72,0.44
1980,M,ALEXANDRE,999,3.04
1981,M,ALEXANDRE,1013,3.09
1982,M,ALEXANDRE,1039,3.35
1983,M,ALEXANDRE,1085,3.52
1984,M,ALEXANDRE,1157,3.75
1985,M,ALEXANDRE,1286,4.25
1986,M,ALEXANDRE,1496,5.1
1987,M,ALEXANDRE,1550,5.32
1988,M,ALEXANDRE,1710,5.67
1989,M,ALEXANDRE,1862,5.81
1990,M,ALEXANDRE,1838,5.4
1991,M,ALEXANDRE,1877,5.55
1992,M,ALEXANDRE,1835,5.64
1993,M,ALEXANDRE,1777,5.66
1994,M,ALEXANDRE,1873,6.08
1995,M,ALEXANDRE,1582,5.33
1996,M,ALEXANDRE,1347,4.71
1997,M,ALEXANDRE,1040,3.97
1998,M,ALEXANDRE,930,3.81
1999,M,ALEXANDRE,879,3.7
2000,M,ALEXANDRE,761,3.31
2001,M,ALEXANDRE,717,3.06
2002,M,ALEXANDRE,606,2.7
2003,M,ALEXANDRE,544,2.43
2004,M,ALEXANDRE,486,2.21
2005,M,ALEXANDRE,504,2.31
2006,M,ALEXANDRE,568,2.45
2007,M,ALEXANDRE,534,2.3
2008,M,ALEXANDRE,537,2.26
2009,M,ALEXANDRE,480,2.03
2010,M,ALEXANDRE,431,1.9
2011,M,ALEXANDRE,383,1.72
2012,M,ALEXANDRE,353,1.58
2013,M,ALEXANDRE,320,1.48
2014,M,ALEXANDRE,289,1.41
2015,M,ALEXANDRE,264,1.32
2016,M,ALEXANDRE,205,1.07
2017,M,ALEXANDRE,186,1.09
2018,M,ALEXANDRE,157,0.95
1980,M,ALEXIS,91,0.28
1981,M,ALEXIS,78,0.24
1982,M,ALEXIS,81,0.26
1983,M,ALEXIS,85,0.28
1984,M,ALEXIS,82,0.27
1985,M,ALEXIS,90,0.3
1986,M,ALEXIS,77,0.26
1987,M,ALEXIS,72,0.25
1988,M,ALEXIS,75,0.25
1989,M,ALEXIS,107,0.33
1990,M,ALEXIS,126,0.37
1991,M,ALEXIS,135,0.4
1992,M,ALEXIS,172,0.53
1993,M,ALEXIS,192,0.61
1994,M,ALEXIS,241,0.78
1995,M,ALEXIS,261,0.88
1996,M,ALEXIS,283,0.99
1997,M,ALEXIS,347,1.32
1998,M,ALEXIS,326,1.33
1999,M,ALEXIS,331,1.39
2000,M,ALEXIS,359,1.56
2001,M,ALEXIS,379,1.62
2002,M,ALEXIS,367,1.63
2003,M,ALEXIS,565,2.52
2004,M,ALEXIS,704,3.21
2005,M,ALEXIS,651,2.99
2006,M,ALEXIS,729,3.15
2007,M,ALEXIS,763,3.29
2008,M,ALEXIS,744,3.13
2009,M,ALEXIS,767,3.24
2010,M,ALEXIS,721,3.18
2011,M,ALEXIS,781,3.51
2012,M,ALEXIS,752,3.37
2013,M,ALEXIS,707,3.28
2014,M,ALEXIS,600,2.94
2015,M,ALEXIS,556,2.78
2016,M,ALEXIS,534,2.78
2017,M,ALEXIS,462,2.7
2018,M,ALEXIS,440,2.67
1980,M,ANDREW,69,0.21
1981,M,ANDREW,80,0.24
1982,M,ANDREW,88,0.28
1983,M,ANDREW,97,0.31
1984,M,ANDREW,88,0.28
1985,M,ANDREW,118,0.39
1986,M,ANDREW,128,0.44
1987,M,ANDREW,127,0.44
1988,M,ANDREW,150,0.5
1989,M,ANDREW,146,0.46
1990,M,ANDREW,164,0.48
1991,M,ANDREW,141,0.42
1992,M,ANDREW,134,0.41
1993,M,ANDREW,116,0.37
1994,M,ANDREW,137,0.44
1995,M,ANDREW,141,0.47
1996,M,ANDREW,128,0.45
1997,M,ANDREW,122,0.47
1998,M,ANDREW,103,0.42
1999,M,ANDREW,119,0.5
2000,M,ANDREW,117,0.51
2001,M,ANDREW,122,0.52
2002,M,ANDREW,98,0.44
2003,M,ANDREW,91,0.41
2004,M,ANDREW,107,0.49
2005,M,ANDREW,91,0.42
2006,M,ANDREW,100,0.43
2007,M,ANDREW,84,0.36
2008,M,ANDREW,85,0.36
2009,M,ANDREW,69,0.29
2010,M,ANDREW,66,0.29
2011,M,ANDREW,64,0.29
2012,M,ANDREW,71,0.32
2013,M,ANDREW,64,0.3
2014,M,ANDREW,59,0.29
2015,M,ANDREW,57,0.29
2016,M,ANDREW,54,0.28
2017,M,ANDREW,46,0.27
2018,M,ANDREW,40,0.24
1980,M,ANTHONY,76,0.23
1981,M,ANTHONY,100,0.31
1982,M,ANTHONY,102,0.33
1983,M,ANTHONY,117,0.38
1984,M,ANTHONY,139,0.45
1985,M,ANTHONY,138,0.46
1986,M,ANTHONY,162,0.55
1987,M,ANTHONY,190,0.65
1988,M,ANTHONY,194,0.64
1989,M,ANTHONY,218,0.68
1990,M,ANTHONY,302,0.89
1991,M,ANTHONY,395,1.17
1992,M,ANTHONY,458,1.41
1993,M,ANTHONY,486,1.55
1994,M,ANTHONY,479,1.55
1995,M,ANTHONY,515,1.73
1996,M,ANTHONY,573,2.01
1997,M,ANTHONY,559,2.13
1998,M,ANTHONY,552,2.26
1999,M,ANTHONY,557,2.35
2000,M,ANTHONY,566,2.46
2001,M,ANTHONY,579,2.47
2002,M,ANTHONY,646,2.88
2003,M,ANTHONY,586,2.62
2004,M,ANTHONY,548,2.5
2005,M,ANTHONY,504,2.31
2006,M,ANTHONY,523,2.26
2007,M,ANTHONY,517,2.23
2008,M,ANTHONY,478,2.01
2009,M,ANTHONY,418,1.77
2010,M,ANTHONY,381,1.68
2011,M,ANTHONY,347,1.56
2012,M,ANTHONY,300,1.35
2013,M,ANTHONY,313,1.45
2014,M,ANTHONY,293,1.43
2015,M,ANTHONY,262,1.31
2016,M,ANTHONY,234,1.22
2017,M,ANTHONY,167,0.97
2018,M,ANTHONY,131,0.79
1980,M,ANTOINE,127,0.39
1981,M,ANTOINE,128,0.39
1982,M,ANTOINE,106,0.34
1983,M,ANTOINE,86,0.28
1984,M,ANTOINE,77,0.25
