variable,year,sex,name,n,prop
ADAM-1980,1980,M,ADAM,96,0.29
ADAM-1981,1981,M,ADAM,105,0.32
ADAM-1982,1982,M,ADAM,98,0.32
ADAM-1983,1983,M,ADAM,149,0.48
ADAM-1984,1984,M,ADAM,124,0.4
ADAM-1985,1985,M,ADAM,126,0.42
ADAM-1986,1986,M,ADAM,113,0.39
ADAM-1987,1987,M,ADAM,122,0.42
ADAM-1988,1988,M,ADAM,115,0.38
ADAM-1989,1989,M,ADAM,126,0.39
ADAM-1990,1990,M,ADAM,106,0.31
ADAM-1991,1991,M,ADAM,112,0.33
ADAM-1992,1992,M,ADAM,101,0.31
ADAM-1993,1993,M,ADAM,76,0.24
ADAM-1994,1994,M,ADAM,102,0.33
ADAM-1995,1995,M,ADAM,105,0.35
ADAM-1996,1996,M,ADAM,106,0.37
ADAM-1997,1997,M,ADAM,151,0.58
ADAM-1998,1998,M,ADAM,124,0.51
ADAM-1999,1999,M,ADAM,128,0.54
ADAM-2000,2000,M,ADAM,139,0.61
ADAM-2001,2001,M,ADAM,167,0.71
ADAM-2002,2002,M,ADAM,187,0.83
ADAM-2003,2003,M,ADAM,238,1.06
ADAM-2004,2004,M,ADAM,269,1.23
ADAM-2005,2005,M,ADAM,303,1.39
ADAM-2006,2006,M,ADAM,326,1.41
ADAM-2007,2007,M,ADAM,364,1.58
ADAM-2008,2008,M,ADAM,430,1.82
ADAM-2009,2009,M,ADAM,405,1.72
ADAM-2010,2010,M,ADAM,382,1.69
ADAM-2011,2011,M,ADAM,374,1.69
ADAM-2012,2012,M,ADAM,467,2.11
ADAM-2013,2013,M,ADAM,432,2.02
ADAM-2014,2014,M,ADAM,412,2.04
ADAM-2015,2015,M,ADAM,427,2.16
ADAM-2016,2016,M,ADAM,423,2.23
ADAM-2017,2017,M,ADAM,379,2.25
ADAM-2018,2018,M,ADAM,378,2.33
ALEX-1980,1980,M,ALEX,65,0.2
ALEX-1981,1981,M,ALEX,53,0.16
ALEX-1982,1982,M,ALEX,57,0.18
ALEX-1983,1983,M,ALEX,70,0.23
ALEX-1984,1984,M,ALEX,100,0.32
ALEX-1985,1985,M,ALEX,107,0.35
ALEX-1986,1986,M,ALEX,141,0.48
ALEX-1987,1987,M,ALEX,177,0.61
ALEX-1988,1988,M,ALEX,208,0.69
ALEX-1989,1989,M,ALEX,273,0.85
ALEX-1990,1990,M,ALEX,361,1.06
ALEX-1991,1991,M,ALEX,417,1.23
ALEX-1992,1992,M,ALEX,499,1.53
ALEX-1993,1993,M,ALEX,538,1.71
ALEX-1994,1994,M,ALEX,550,1.78
ALEX-1995,1995,M,ALEX,582,1.96
ALEX-1996,1996,M,ALEX,453,1.59
ALEX-1997,1997,M,ALEX,417,1.59
ALEX-1998,1998,M,ALEX,388,1.59
ALEX-1999,1999,M,ALEX,358,1.51
ALEX-2000,2000,M,ALEX,313,1.36
ALEX-2001,2001,M,ALEX,313,1.34
ALEX-2002,2002,M,ALEX,266,1.19
ALEX-2003,2003,M,ALEX,213,0.95
ALEX-2004,2004,M,ALEX,235,1.07
ALEX-2005,2005,M,ALEX,204,0.94
ALEX-2006,2006,M,ALEX,230,1
ALEX-2007,2007,M,ALEX,221,0.96
ALEX-2008,2008,M,ALEX,235,0.99
ALEX-2009,2009,M,ALEX,257,1.09
ALEX-2010,2010,M,ALEX,202,0.89
ALEX-2011,2011,M,ALEX,189,0.85
ALEX-2012,2012,M,ALEX,161,0.73
ALEX-2013,2013,M,ALEX,180,0.84
ALEX-2014,2014,M,ALEX,160,0.79
ALEX-2015,2015,M,ALEX,156,0.79
ALEX-2016,2016,M,ALEX,129,0.68
ALEX-2017,2017,M,ALEX,122,0.72
ALEX-2018,2018,M,ALEX,98,0.6
ALEXANDER-1980,1980,M,ALEXANDER,32,0.1
ALEXANDER-1981,1981,M,ALEXANDER,34,0.1
ALEXANDER-1982,1982,M,ALEXANDER,54,0.17
ALEXANDER-1983,1983,M,ALEXANDER,53,0.17
ALEXANDER-1984,1984,M,ALEXANDER,73,0.24
ALEXANDER-1985,1985,M,ALEXANDER,82,0.27
ALEXANDER-1986,1986,M,ALEXANDER,82,0.28
ALEXANDER-1987,1987,M,ALEXANDER,88,0.3
ALEXANDER-1988,1988,M,ALEXANDER,111,0.37
ALEXANDER-1989,1989,M,ALEXANDER,116,0.36
ALEXANDER-1990,1990,M,ALEXANDER,137,0.4
ALEXANDER-1991,1991,M,ALEXANDER,110,0.33
ALEXANDER-1992,1992,M,ALEXANDER,101,0.31
ALEXANDER-1993,1993,M,ALEXANDER,97,0.31
ALEXANDER-1994,1994,M,ALEXANDER,150,0.49
ALEXANDER-1995,1995,M,ALEXANDER,120,0.4
ALEXANDER-1996,1996,M,ALEXANDER,118,0.41
ALEXANDER-1997,1997,M,ALEXANDER,112,0.43
