year,sex,name,n,prop
1980,F,ADELE,3,0.01
1981,F,ADELE,9,0.04
1982,F,ADELE,5,0.02
1983,F,ADELE,2,0.01
1984,F,ADELE,4,0.02
1985,F,ADELE,3,0.01
1986,F,ADELE,4,0.02
1987,F,ADELE,2,0.01
1988,F,ADELE,2,0.01
1989,F,ADELE,5,0.02
1990,F,ADELE,4,0.02
1991,F,ADELE,2,0.01
1992,F,ADELE,7,0.03
1993,F,ADELE,14,0.06
1994,F,ADELE,19,0.08
1995,F,ADELE,17,0.08
1996,F,ADELE,15,0.07
1997,F,ADELE,15,0.08
1998,F,ADELE,10,0.06
1999,F,ADELE,16,0.1
2000,F,ADELE,19,0.12
2001,F,ADELE,27,0.17
2002,F,ADELE,23,0.15
2003,F,ADELE,41,0.27
2004,F,ADELE,41,0.28
2005,F,ADELE,36,0.24
2006,F,ADELE,66,0.42
2007,F,ADELE,51,0.32
2008,F,ADELE,71,0.44
2009,F,ADELE,78,0.48
2010,F,ADELE,60,0.38
2011,F,ADELE,100,0.64
2012,F,ADELE,133,0.85
2013,F,ADELE,136,0.88
2014,F,ADELE,172,1.11
2015,F,ADELE,169,1.14
2016,F,ADELE,140,0.99
2017,F,ADELE,151,1.14
2018,F,ADELE,147,1.17
1980,F,ALEXANDRA,127,0.5
1981,F,ALEXANDRA,104,0.42
1982,F,ALEXANDRA,114,0.47
1983,F,ALEXANDRA,142,0.6
1984,F,ALEXANDRA,195,0.84
1985,F,ALEXANDRA,256,1.13
1986,F,ALEXANDRA,273,1.22
1987,F,ALEXANDRA,350,1.58
1988,F,ALEXANDRA,500,2.17
1989,F,ALEXANDRA,476,1.95
1990,F,ALEXANDRA,661,2.58
1991,F,ALEXANDRA,742,2.95
1992,F,ALEXANDRA,1016,4.22
1993,F,ALEXANDRA,961,4.17
1994,F,ALEXANDRA,915,3.99
1995,F,ALEXANDRA,803,3.72
1996,F,ALEXANDRA,702,3.45
1997,F,ALEXANDRA,582,3.16
1998,F,ALEXANDRA,474,2.76
1999,F,ALEXANDRA,401,2.47
2000,F,ALEXANDRA,357,2.29
2001,F,ALEXANDRA,307,1.92
2002,F,ALEXANDRA,222,1.47
2003,F,ALEXANDRA,197,1.3
2004,F,ALEXANDRA,204,1.37
2005,F,ALEXANDRA,215,1.43
2006,F,ALEXANDRA,168,1.07
2007,F,ALEXANDRA,164,1.03
2008,F,ALEXANDRA,174,1.08
2009,F,ALEXANDRA,143,0.88
2010,F,ALEXANDRA,132,0.83
2011,F,ALEXANDRA,108,0.69
2012,F,ALEXANDRA,106,0.67
2013,F,ALEXANDRA,86,0.56
2014,F,ALEXANDRA,72,0.46
2015,F,ALEXANDRA,66,0.45
2016,F,ALEXANDRA,54,0.38
2017,F,ALEXANDRA,49,0.37
2018,F,ALEXANDRA,30,0.24
1980,F,ALEXIA,2,0.01
1981,F,ALEXIA,7,0.03
1982,F,ALEXIA,3,0.01
1983,F,ALEXIA,4,0.02
1984,F,ALEXIA,12,0.05
1985,F,ALEXIA,5,0.02
1986,F,ALEXIA,2,0.01
1987,F,ALEXIA,6,0.03
1988,F,ALEXIA,12,0.05
1989,F,ALEXIA,26,0.11
1990,F,ALEXIA,23,0.09
1991,F,ALEXIA,27,0.11
1992,F,ALEXIA,24,0.1
1993,F,ALEXIA,42,0.18
1994,F,ALEXIA,48,0.21
1995,F,ALEXIA,72,0.33
1996,F,ALEXIA,64,0.31
1997,F,ALEXIA,105,0.57
1998,F,ALEXIA,128,0.74
1999,F,ALEXIA,136,0.84
2000,F,ALEXIA,118,0.76
2001,F,ALEXIA,139,0.87
2002,F,ALEXIA,150,0.99
2003,F,ALEXIA,174,1.15
2004,F,ALEXIA,164,1.11
2005,F,ALEXIA,178,1.19
2006,F,ALEXIA,181,1.15
2007,F,ALEXIA,267,1.68
2008,F,ALEXIA,273,1.69
2009,F,ALEXIA,279,1.72
2010,F,ALEXIA,277,1.74
2011,F,ALEXIA,261,1.66
2012,F,ALEXIA,206,1.31
2013,F,ALEXIA,176,1.14
2014,F,ALEXIA,177,1.14
2015,F,ALEXIA,158,1.07
2016,F,ALEXIA,132,0.93
2017,F,ALEXIA,154,1.16
2018,F,ALEXIA,127,1.01
1980,F,ALICE,11,0.04
1981,F,ALICE,14,0.06
1982,F,ALICE,13,0.05
1983,F,ALICE,12,0.05
1984,F,ALICE,15,0.06
1985,F,ALICE,14,0.06
1986,F,ALICE,17,0.08
1987,F,ALICE,15,0.07
1988,F,ALICE,8,0.03
1989,F,ALICE,23,0.09
1990,F,ALICE,20,0.08
1991,F,ALICE,35,0.14
1992,F,ALICE,32,0.13
1993,F,ALICE,41,0.18
