year,sex,name,n,prop
1980,F,ADELE,3,0.08
1980,F,ADELE,3,0.08
1981,F,ADELE,9,0.2
1981,F,ADELE,9,0.2
1982,F,ADELE,5,0.11
1982,F,ADELE,5,0.11
1983,F,ADELE,2,0.04
1983,F,ADELE,2,0.04
1984,F,ADELE,4,0.08
1984,F,ADELE,4,0.08
1985,F,ADELE,3,0.06
1985,F,ADELE,3,0.06
1986,F,ADELE,4,0.07
1986,F,ADELE,4,0.07
1987,F,ADELE,2,0.03
1987,F,ADELE,2,0.03
1988,F,ADELE,2,0.03
1988,F,ADELE,2,0.03
1989,F,ADELE,5,0.07
1989,F,ADELE,5,0.07
1990,F,ADELE,4,0.05
1990,F,ADELE,4,0.05
1991,F,ADELE,2,0.02
1991,F,ADELE,2,0.02
1992,F,ADELE,7,0.07
1992,F,ADELE,7,0.07
1993,F,ADELE,14,0.13
1993,F,ADELE,14,0.13
1994,F,ADELE,19,0.17
1994,F,ADELE,19,0.17
1995,F,ADELE,17,0.14
1995,F,ADELE,17,0.14
1996,F,ADELE,15,0.12
1996,F,ADELE,15,0.12
1997,F,ADELE,15,0.12
1997,F,ADELE,15,0.12
1998,F,ADELE,10,0.08
1998,F,ADELE,10,0.08
1999,F,ADELE,16,0.13
1999,F,ADELE,16,0.13
2000,F,ADELE,19,0.15
2000,F,ADELE,19,0.15
2001,F,ADELE,27,0.19
2001,F,ADELE,27,0.19
2002,F,ADELE,23,0.16
2002,F,ADELE,23,0.16
2003,F,ADELE,41,0.27
2003,F,ADELE,41,0.27
2004,F,ADELE,41,0.27
2004,F,ADELE,41,0.27
2005,F,ADELE,36,0.23
2005,F,ADELE,36,0.23
2006,F,ADELE,66,0.38
2006,F,ADELE,66,0.38
2007,F,ADELE,51,0.29
2007,F,ADELE,51,0.29
2008,F,ADELE,71,0.38
2008,F,ADELE,71,0.38
2009,F,ADELE,78,0.41
2009,F,ADELE,78,0.41
2010,F,ADELE,60,0.32
2010,F,ADELE,60,0.32
2011,F,ADELE,100,0.52
2011,F,ADELE,100,0.52
2012,F,ADELE,133,0.69
2012,F,ADELE,133,0.69
2013,F,ADELE,136,0.71
2013,F,ADELE,136,0.71
2014,F,ADELE,172,0.9
2014,F,ADELE,172,0.9
2015,F,ADELE,169,0.91
2015,F,ADELE,169,0.91
2016,F,ADELE,140,0.77
2016,F,ADELE,140,0.77
2017,F,ADELE,151,0.87
2017,F,ADELE,151,0.87
2018,F,ADELE,147,0.88
2018,F,ADELE,147,0.88
1980,F,ALEXANDRA,127,3.31
1981,F,ALEXANDRA,104,2.28
1982,F,ALEXANDRA,114,2.52
1983,F,ALEXANDRA,142,3
1984,F,ALEXANDRA,195,3.84
1985,F,ALEXANDRA,256,5
1986,F,ALEXANDRA,273,4.83
