SampleID	Condition	TimePoint	Treatment	Date
846.ITS	Control	Fresh	Control.Fresh	2015-10-02
847.ITS	Control	Fresh	Control.Fresh	2015-10-02
848.ITS	Control	Fresh	Control.Fresh	2015-10-02
851.ITS	Control	Day.1	Control.Day.1	2015-10-03
852.ITS	Control	Day.1	Control.Day.1	2015-10-03
853.ITS	Control	Day.1	Control.Day.1	2015-10-03
856.ITS	Control	Day.2	Control.Day.2	2015-10-04
857.ITS	Control	Day.2	Control.Day.2	2015-10-04
858.ITS	Control	Day.2	Control.Day.2	2015-10-04
861.ITS	Control	Day.4	Control.Day.4	2015-10-06
862.ITS	Control	Day.4	Control.Day.4	2015-10-06
863.ITS	Control	Day.4	Control.Day.4	2015-10-06
866.ITS	Control	Day.8	Control.Day.8	2015-10-10
867.ITS	Control	Day.8	Control.Day.8	2015-10-10
868.ITS	Control	Day.8	Control.Day.8	2015-10-10
871.ITS	Control	Day.16	Control.Day.16	2015-10-18
872.ITS	Control	Day.16	Control.Day.16	2015-10-18
873.ITS	Control	Day.16	Control.Day.16	2015-10-18
876.ITS	Control	Day.32	Control.Day.32	2015-11-03
877.ITS	Control	Day.32	Control.Day.32	2015-11-03
878.ITS	Control	Day.32	Control.Day.32	2015-11-03
881.ITS	Control	Day.64	Control.Day.64	2015-12-05
882.ITS	Control	Day.64	Control.Day.64	2015-12-05
883.ITS	Control	Day.64	Control.Day.64	2015-12-05
886.ITS	Lb40788	Fresh	Lb40788.Fresh	2015-10-02
887.ITS	Lb40788	Fresh	Lb40788.Fresh	2015-10-02
888.ITS	Lb40788	Fresh	Lb40788.Fresh	2015-10-02
891.ITS	Lb40788	Day.1	Lb40788.Day.1	2015-10-03
892.ITS	Lb40788	Day.1	Lb40788.Day.1	2015-10-03
893.ITS	Lb40788	Day.1	Lb40788.Day.1	2015-10-03
896.ITS	Lb40788	Day.2	Lb40788.Day.2	2015-10-04
897.ITS	Lb40788	Day.2	Lb40788.Day.2	2015-10-04
898.ITS	Lb40788	Day.2	Lb40788.Day.2	2015-10-04
901.ITS	Lb40788	Day.4	Lb40788.Day.4	2015-10-06
902.ITS	Lb40788	Day.4	Lb40788.Day.4	2015-10-06
903.ITS	Lb40788	Day.4	Lb40788.Day.4	2015-10-06
