Taxon	922.16SArchBac	861.16SArchBac	997.16SArchBac	977.16SArchBac	906.16SArchBac	946.16SArchBac	992.16SArchBac	863.16SArchBac	951.16SArchBac	883.16SArchBac	913.16SArchBac	1002.16SArchBac	877.16SArchBac	918.16SArchBac	876.16SArchBac	938.16SArchBac	972.16SArchBac	962.16SArchBac	943.16SArchBac	911.16SArchBac	1001.16SArchBac	857.16SArchBac	987.16SArchBac	852.16SArchBac	897.16SArchBac	968.16SArchBac	983.16SArchBac	956.16SArchBac	871.16SArchBac	941.16SArchBac	926.16SArchBac	853.16SArchBac	967.16SArchBac	901.16SArchBac	982.16SArchBac	952.16SArchBac	986.16SArchBac	932.16SArchBac	867.16SArchBac	862.16SArchBac	971.16SArchBac	961.16SArchBac	916.16SArchBac	973.16SArchBac	846.16SArchBac	912.16SArchBac	878.16SArchBac	981.16SArchBac	847.16SArchBac	963.16SArchBac	923.16SArchBac	893.16SArchBac	851.16SArchBac	896.16SArchBac	921.16SArchBac	953.16SArchBac	858.16SArchBac	957.16SArchBac	881.16SArchBac	996.16SArchBac	948.16SArchBac	933.16SArchBac	998.16SArchBac	976.16SArchBac	1003.16SArchBac	903.16SArchBac	988.16SArchBac	887.16SArchBac	991.16SArchBac	978.16SArchBac	907.16SArchBac	937.16SArchBac	891.16SArchBac	856.16SArchBac	917.16SArchBac	866.16SArchBac	936.16SArchBac	966.16SArchBac	942.16SArchBac	892.16SArchBac	868.16SArchBac	928.16SArchBac	927.16SArchBac	873.16SArchBac	848.16SArchBac	908.16SArchBac	888.16SArchBac	882.16SArchBac	872.16SArchBac	898.16SArchBac	931.16SArchBac	947.16SArchBac	902.16SArchBac	886.16SArchBac	958.16SArchBac
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__Cenarchaeaceae; g__Nitrosopumilus	2.37675777376e-05	1.49311694555e-05	4.17773928259e-05	3.19850457456e-05	2.33777500752e-05	7.35713462347e-05	6.39594219181e-05	1.84086698836e-05	4.3400560622e-05	1.20648668918e-05	5.06693404083e-05	3.15681049425e-05	3.87808377783e-05	1.06245324745e-05	4.58300080238e-05	4.92404055758e-05	3.65467031572e-05	1.89859001771e-05	2.81736859899e-05	2.18490183208e-05	3.94469275367e-05	2.29444168633e-05	3.46173335047e-05	2.55703220614e-05	2.60828697462e-05	0.000239327242868	3.06659043264e-05	2.8236842161e-05	1.80416779782e-05	3.43966690309e-05	3.04160941236e-05	4.11615166408e-05	0.0003134765625	3.14929303354e-05	2.60079320921e-05	2.81678486894e-05	2.83912048142e-05	3.28256001351e-05	2.28950243102e-05	1.22394957265e-05	4.4645574452e-05	1.78707438879e-05	4.54303561726e-05	3.96695550702e-05	5.1134165595e-05	0.000106159582098	3.00616916962e-05	2.42937865231e-05	4.35275445222e-05	1.91033342983e-05	1.22662271103e-05	2.97576613927e-05	1.63469019623e-05	3.15784938062e-05	2.74012641117e-05	3.92593749492e-05	1.59537640793e-05	3.61517968059e-05	1.10474387255e-05	4.03050484491e-05	2.47150214247e-05	2.89963889108e-05	3.95850560445e-05	5.70494550104e-05	2.49697723181e-05	2.63795028277e-05	4.2673300127e-05	2.32256135352e-05	3.97081133048e-05	2.82212688142e-05	2.93216789188e-05	2.3824626254e-05	5.79779330635e-05	4.4062490464e-05	5.04078602657e-05	2.52623016357e-05	2.80514178984e-05	0.000194534914735	1.51964847588e-05	3.61946516894e-05	2.05204572399e-05	3.55364731782e-05	5.85818681608e-05	2.9721242608e-05	6.00463672329e-05	6.2951560143e-05	6.35741853872e-05	4.57383603354e-05	2.55660167849e-05	4.89822871584e-05	3.08386021532e-05	1.44376222987e-05	2.12242828778e-05	3.84012619245e-05	1.27002637901e-05
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__AcidobacteriaceaeFA	2.37675777376e-05	1.49311694555e-05	4.17773928259e-05	3.19850457456e-05	2.33777500752e-05	1.83782967669e-05	6.39594219181e-05	1.84086698836e-05	4.3400560622e-05	1.20648668918e-05	5.06693404083e-05	3.15681049425e-05	3.87808377783e-05	1.06245324745e-05	4.58300080238e-05	4.92404055758e-05	3.65467031572e-05	1.89859001771e-05	2.81736859899e-05	2.18490183208e-05	3.94469275367e-05	2.29444168633e-05	3.46173335047e-05	2.55703220614e-05	2.60828697462e-05	0.000239327242868	3.06659043264e-05	2.8236842161e-05	1.80416779782e-05	3.43966690309e-05	0.000151982669672	4.11615166408e-05	0.0003134765625	3.14929303354e-05	2.60079320921e-05	2.81678486894e-05	2.83912048142e-05	3.28256001351e-05	2.28950243102e-05	2.4478991453e-05	4.4645574452e-05	1.78707438879e-05	4.54303561726e-05	3.96695550702e-05	5.1134165595e-05	0.000106159582098	3.00616916962e-05	2.42937865231e-05	4.35275445222e-05	1.91033342983e-05	1.22662271103e-05	2.97576613927e-05	1.63469019623e-05	3.15784938062e-05	2.74012641117e-05	3.92593749492e-05	1.59537640793e-05	3.61517968059e-05	1.10474387255e-05	4.03050484491e-05	4.93523226563e-05	2.89963889108e-05	3.95850560445e-05	5.70494550104e-05	2.49697723181e-05	2.63795028277e-05	4.2673300127e-05	2.32256135352e-05	3.97081133048e-05	2.82212688142e-05	2.93216789188e-05	2.3824626254e-05	5.79779330635e-05	4.4062490464e-05	5.04078602657e-05	2.52623016357e-05	2.80514178984e-05	0.000194534914735	1.51964847588e-05	3.61946516894e-05	4.10409144799e-05	3.55364731782e-05	5.85818681608e-05	2.9721242608e-05	6.00463672329e-05	6.2951560143e-05	6.35741853872e-05	4.57383603354e-05	2.55660167849e-05	4.89822871584e-05	3.08386021532e-05	1.44376222987e-05	2.12242828778e-05	3.84012619245e-05	1.27002637901e-05
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Edaphobacter	2.37675777376e-05	1.49311694555e-05	4.17773928259e-05	3.19850457456e-05	2.33777500752e-05	1.83782967669e-05	6.39594219181e-05	1.84086698836e-05	4.3400560622e-05	4.82980134676e-05	5.06693404083e-05	3.15681049425e-05	3.87808377783e-05	1.06245324745e-05	4.58300080238e-05	4.92404055758e-05	3.65467031572e-05	1.89859001771e-05	2.81736859899e-05	2.18490183208e-05	3.94469275367e-05	2.29444168633e-05	3.46173335047e-05	2.55703220614e-05	2.60828697462e-05	0.000239327242868	3.06659043264e-05	2.8236842161e-05	1.80416779782e-05	3.43966690309e-05	3.04160941236e-05	4.11615166408e-05	0.0003134765625	3.14929303354e-05	2.60079320921e-05	2.81678486894e-05	2.83912048142e-05	3.28256001351e-05	2.28950243102e-05	1.22394957265e-05	4.4645574452e-05	1.78707438879e-05	4.54303561726e-05	3.96695550702e-05	0.00010226833119	0.000106159582098	3.00616916962e-05	2.42937865231e-05	4.35275445222e-05	1.91033342983e-05	1.22662271103e-05	2.97576613927e-05	1.63469019623e-05	3.15784938062e-05	2.74012641117e-05	3.92593749492e-05	1.59537640793e-05	3.61517968059e-05	1.10474387255e-05	4.03050484491e-05	2.47150214247e-05	2.89963889108e-05	3.95850560445e-05	5.70494550104e-05	2.49697723181e-05	2.63795028277e-05	4.2673300127e-05	2.32256135352e-05	3.97081133048e-05	2.82212688142e-05	2.93216789188e-05	2.3824626254e-05	5.79779330635e-05	4.4062490464e-05	5.04078602657e-05	2.52623016357e-05	2.80514178984e-05	0.000194534914735	1.51964847588e-05	3.61946516894e-05	2.05204572399e-05	3.55364731782e-05	5.85818681608e-05	2.9721242608e-05	0.000120283357854	6.2951560143e-05	6.35741853872e-05	4.57383603354e-05	2.55660167849e-05	4.89822871584e-05	3.08386021532e-05	1.44376222987e-05	2.12242828778e-05	3.84012619245e-05	1.27002637901e-05
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus	2.37675777376e-05	1.49311694555e-05	4.17773928259e-05	3.19850457456e-05	2.33777500752e-05	1.83782967669e-05	6.39594219181e-05	3.68173397672e-05	4.3400560622e-05	2.41297337835e-05	5.06693404083e-05	3.15681049425e-05	3.87808377783e-05	1.06245324745e-05	4.58300080238e-05	9.84808111516e-05	3.65467031572e-05	3.79718003541e-05	2.81736859899e-05	0.000109176167256	3.94469275367e-05	2.29444168633e-05	0.000103852000514	2.55703220614e-05	2.60828697462e-05	0.00119513573006	0.000122567183644	5.6473684322e-05	1.80416779782e-05	6.89004927939e-05	0.000334479234414	4.11615166408e-05	0.0015693359375	3.14929303354e-05	0.000181891952745	2.81678486894e-05	0.000113564819257	3.28256001351e-05	2.28950243102e-05	3.67184871796e-05	4.4645574452e-05	1.78707438879e-05	4.54303561726e-05	3.96695550702e-05	0.000409236692701	0.000106159582098	6.00288497707e-05	0.000145686082588	0.000261304332771	1.91033342983e-05	1.22662271103e-05	2.97576613927e-05	1.63469019623e-05	3.15784938062e-05	5.48025282233e-05	3.92593749492e-05	1.59537640793e-05	7.24155186792e-05	2.20948774509e-05	4.03050484491e-05	2.47150214247e-05	2.89963889108e-05	3.95850560445e-05	5.70494550104e-05	2.49697723181e-05	2.63795028277e-05	8.54795388838e-05	0.000603641910627	0.000158955770341	5.64425376284e-05	2.93216789188e-05	2.3824626254e-05	5.79779330635e-05	4.4062490464e-05	5.04078602657e-05	7.5786904907e-05	2.80514178984e-05	0.00136052091312	0.000319560365213	7.25017091294e-05	2.05204572399e-05	0.000142259791665	0.000703357942725	2.9721242608e-05	0.000180329725087	6.2951560143e-05	0.000318074039349	4.57383603354e-05	2.55660167849e-05	4.89822871584e-05	3.08386021532e-05	1.44376222987e-05	4.25161590131e-05	0.000115326866741	1.27002637901e-05
k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__Ellin6075FA	9.50703109503e-05	5.97246778219e-05	0.000167109571304	0.000127940182982	0.000116888750376	9.18914838346e-05	0.000832267011915	9.20433494181e-05	0.00021700280311	0.000108622347926	0.000202677361633	0.00012627241977	0.000155123351113	4.24981298979e-05	0.000229150040119	0.000196961622303	0.000182847368444	9.49295008854e-05	0.00014086842995	8.73960732834e-05	0.000157787710147	9.17776674534e-05	0.000207704001028	0.000102281288246	0.000104331478985	0.00215244470153	0.000153233087971	0.000169421052966	0.000126235011011	0.000137586676123	0.00118573866609	0.000164646066563	0.0025107421875	0.000157464651677	0.000104031728369	0.000112671394757	0.000113564819257	0.00013130240054	9.15800972409e-05	7.34369743591e-05	0.000268012097564	7.14829755517e-05	0.00018172142469	0.000158678220281	0.000357939159165	0.000424638328393	0.000180275616555	0.000145686082588	0.00043541451086	7.64133371933e-05	4.90649084412e-05	0.000119030645571	6.53876078492e-05	0.000126313975225	0.000109605056447	0.000157037499797	6.3815056317e-05	0.000180870909097	7.73320710782e-05	0.000161220193797	0.000148134688162	0.000174158996324	0.000237266735922	0.000228197820042	0.000823463016107	0.000105518011311	0.000213499439265	0.000185730227852	0.000158832453219	0.000141106344071	0.000117286715675	0.00011912313127	0.000231911732254	0.000176249961856	0.000201631441063	0.000101049206543	0.000112205671593	0.00174897899757	7.60306666027e-05	0.000144778606758	0.00012312274344	0.000426665476043	0.000527424575845	0.000118884970432	0.000300422459553	0.000251806240572	0.000445222410124	0.000228691801677	0.00010226406714	0.000195929148633	0.000123354408613	7.2233945215e-05	8.48971315111e-05	0.000307456257332	6.34613810139e-05
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__ZA3409c; g__ZA3409cFA	2.37675777376e-05	1.49311694555e-05	4.17773928259e-05	3.19850457456e-05	2.33777500752e-05	1.83782967669e-05	6.39594219181e-05	1.84086698836e-05	4.3400560622e-05	1.20648668918e-05	5.06693404083e-05	3.15681049425e-05	3.87808377783e-05	1.06245324745e-05	4.58300080238e-05	4.92404055758e-05	3.65467031572e-05	1.89859001771e-05	2.81736859899e-05	2.18490183208e-05	3.94469275367e-05	2.29444168633e-05	3.46173335047e-05	2.55703220614e-05	2.60828697462e-05	0.000239327242868	3.06659043264e-05	2.8236842161e-05	1.80416779782e-05	3.43966690309e-05	3.04160941236e-05	4.11615166408e-05	0.0003134765625	3.14929303354e-05	2.60079320921e-05	2.81678486894e-05	2.83912048142e-05	3.28256001351e-05	9.15800972409e-05	1.22394957265e-05	4.4645574452e-05	1.78707438879e-05	4.54303561726e-05	3.96695550702e-05	5.1134165595e-05	0.000106159582098	3.00616916962e-05	2.42937865231e-05	4.35275445222e-05	1.91033342983e-05	1.22662271103e-05	2.97576613927e-05	1.63469019623e-05	3.15784938062e-05	2.74012641117e-05	3.92593749492e-05	1.59537640793e-05	3.61517968059e-05	1.10474387255e-05	4.03050484491e-05	2.47150214247e-05	2.89963889108e-05	3.95850560445e-05	5.70494550104e-05	2.49697723181e-05	2.63795028277e-05	4.2673300127e-05	2.32256135352e-05	3.97081133048e-05	2.82212688142e-05	2.93216789188e-05	2.3824626254e-05	5.79779330635e-05	4.4062490464e-05	5.04078602657e-05	2.52623016357e-05	2.80514178984e-05	0.000194534914735	1.51964847588e-05	3.61946516894e-05	2.05204572399e-05	3.55364731782e-05	5.85818681608e-05	2.9721242608e-05	6.00463672329e-05	6.2951560143e-05	6.35741853872e-05	4.57383603354e-05	2.55660167849e-05	4.89822871584e-05	3.08386021532e-05	1.44376222987e-05	2.12242828778e-05	3.84012619245e-05	1.27002637901e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	2.37675777376e-05	1.49311694555e-05	4.17773928259e-05	3.19850457456e-05	2.33777500752e-05	1.83782967669e-05	6.39594219181e-05	1.84086698836e-05	4.3400560622e-05	1.20648668918e-05	5.06693404083e-05	3.15681049425e-05	3.87808377783e-05	1.06245324745e-05	4.58300080238e-05	4.92404055758e-05	3.65467031572e-05	1.89859001771e-05	2.81736859899e-05	2.18490183208e-05	3.94469275367e-05	2.29444168633e-05	3.46173335047e-05	2.55703220614e-05	2.60828697462e-05	0.000239327242868	3.06659043264e-05	2.8236842161e-05	1.80416779782e-05	3.43966690309e-05	3.04160941236e-05	4.11615166408e-05	0.0003134765625	3.14929303354e-05	2.60079320921e-05	2.81678486894e-05	2.83912048142e-05	3.28256001351e-05	2.28950243102e-05	1.22394957265e-05	4.4645574452e-05	1.78707438879e-05	4.54303561726e-05	3.96695550702e-05	0.000153402496785	0.000106159582098	3.00616916962e-05	2.42937865231e-05	4.35275445222e-05	1.91033342983e-05	1.22662271103e-05	2.97576613927e-05	1.63469019623e-05	3.15784938062e-05	2.74012641117e-05	3.92593749492e-05	1.59537640793e-05	3.61517968059e-05	1.10474387255e-05	4.03050484491e-05	2.47150214247e-05	2.89963889108e-05	3.95850560445e-05	5.70494550104e-05	2.49697723181e-05	2.63795028277e-05	4.2673300127e-05	2.32256135352e-05	3.97081133048e-05	2.82212688142e-05	2.93216789188e-05	2.3824626254e-05	5.79779330635e-05	4.4062490464e-05	5.04078602657e-05	2.52623016357e-05	2.80514178984e-05	0.000194534914735	3.04412123263e-05	3.61946516894e-05	2.05204572399e-05	3.55364731782e-05	5.85818681608e-05	2.9721242608e-05	6.00463672329e-05	6.2951560143e-05	6.35741853872e-05	4.57383603354e-05	2.55660167849e-05	4.89822871584e-05	3.08386021532e-05	1.44376222987e-05	2.12242828778e-05	3.84012619245e-05	1.27002637901e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ActinomycetalesOR; g__ActinomycetalesOR	4.75351554752e-05	4.47935083664e-05	8.35547856518e-05	6.39700914912e-05	4.67555001504e-05	3.67565935338e-05	0.000192076897499	5.52260096508e-05	8.6801121244e-05	3.61946006753e-05	0.000101338680817	6.31362098849e-05	0.000116220561015	2.1249064949e-05	0.000183320032095	9.84808111516e-05	7.30934063144e-05	3.79718003541e-05	5.63473719798e-05	4.36980366417e-05	7.88938550734e-05	4.58888337267e-05	6.92346670094e-05	5.11406441228e-05	5.21657394924e-05	0.000478654485735	9.19012793179e-05	5.6473684322e-05	3.60833559563e-05	6.87933380617e-05	0.000152080470618	8.23230332816e-05	0.00094140625	6.29858606709e-05	7.79420103265e-05	5.63356973787e-05	8.51736144425e-05	6.56512002701e-05	4.57900486204e-05	2.4478991453e-05	8.92911489039e-05	3.57414877758e-05	9.08607123452e-05	7.93391101404e-05	0.00010226833119	0.000318478746295	0.000120152233163	4.85875730461e-05	0.000130582633567	3.82066685967e-05	2.45324542206e-05	5.95153227853e-05	4.90407058869e-05	6.31569876124e-05	5.48025282233e-05	7.85187498983e-05	3.19075281585e-05	7.23035936117e-05	6.63199276841e-05	8.06100968983e-05	4.94300428495e-05	5.79927778215e-05	0.000158218424006	0.000114098910021	4.99395446361e-05	5.27590056553e-05	8.53466002541e-05	4.64512270704e-05	7.94162266095e-05	5.64425376284e-05	5.86433578375e-05	7.14738787619e-05	0.000115955866127	8.81249809279e-05	0.000100815720531	5.05246032713e-05	5.61028357967e-05	0.00038906982947	3.03929695176e-05	7.23893033788e-05	8.2016890804e-05	0.000142259791665	0.000351678971362	5.9442485216e-05	0.000120092734466	0.000125903120286	0.000127148370774	0.000137215081006	5.11320335699e-05	9.79645743167e-05	6.16772043064e-05	2.88752445974e-05	0.000127480883782	0.000115203785774	2.54005275801e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Beutenbergiaceae; g__BeutenbergiaceaeFA	2.37675777376e-05	1.49311694555e-05	4.17773928259e-05	3.19850457456e-05	2.33777500752e-05	3.67565935338e-05	6.39594219181e-05	1.84086698836e-05	8.6801121244e-05	1.20648668918e-05	5.06693404083e-05	3.15681049425e-05	3.87808377783e-05	1.06245324745e-05	0.00027512371588	4.92404055758e-05	3.65467031572e-05	1.89859001771e-05	5.63473719798e-05	4.36980366417e-05	3.94469275367e-05	2.29444168633e-05	3.46173335047e-05	2.55703220614e-05	2.60828697462e-05	0.000239327242868	3.06659043264e-05	2.8236842161e-05	1.80416779782e-05	3.43966690309e-05	3.04160941236e-05	4.11615166408e-05	0.0003134765625	3.14929303354e-05	2.60079320921e-05	5.63356973787e-05	2.83912048142e-05	3.28256001351e-05	2.28950243102e-05	1.22394957265e-05	4.4645574452e-05	1.78707438879e-05	4.54303561726e-05	3.96695550702e-05	5.1134165595e-05	0.000106159582098	3.00616916962e-05	2.42937865231e-05	8.70550890444e-05	1.91033342983e-05	1.22662271103e-05	2.97576613927e-05	1.63469019623e-05	3.15784938062e-05	5.48025282233e-05	3.92593749492e-05	1.59537640793e-05	3.61517968059e-05	0.000198959783052	4.03050484491e-05	4.93523226563e-05	2.89963889108e-05	3.95850560445e-05	5.70494550104e-05	2.49697723181e-05	2.63795028277e-05	4.2673300127e-05	2.32256135352e-05	3.97081133048e-05	2.82212688142e-05	2.93216789188e-05	2.3824626254e-05	5.79779330635e-05	4.4062490464e-05	5.04078602657e-05	2.52623016357e-05	2.80514178984e-05	0.000194534914735	1.51964847588e-05	3.61946516894e-05	2.05204572399e-05	3.55364731782e-05	0.000117163736322	2.9721242608e-05	0.000120283357854	6.2951560143e-05	6.35741853872e-05	9.14767206707e-05	2.55660167849e-05	4.89822871584e-05	3.08386021532e-05	1.44376222987e-05	2.12242828778e-05	3.84012619245e-05	1.27002637901e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__BrevibacteriaceaeFA	2.37675777376e-05	1.49311694555e-05	4.17773928259e-05	3.19850457456e-05	2.33777500752e-05	1.83782967669e-05	6.39594219181e-05	3.68173397672e-05	4.3400560622e-05	1.20648668918e-05	5.06693404083e-05	3.15681049425e-05	3.87808377783e-05	1.06245324745e-05	4.58300080238e-05	4.92404055758e-05	3.65467031572e-05	1.89859001771e-05	5.63473719798e-05	2.18490183208e-05	3.94469275367e-05	2.29444168633e-05	3.46173335047e-05	2.55703220614e-05	2.60828697462e-05	0.000239327242868	3.06659043264e-05	2.8236842161e-05	1.80416779782e-05	3.43966690309e-05	3.04160941236e-05	4.11615166408e-05	0.0003134765625	3.14929303354e-05	2.60079320921e-05	2.81678486894e-05	2.83912048142e-05	3.28256001351e-05	2.28950243102e-05	1.22394957265e-05	4.4645574452e-05	1.78707438879e-05	4.54303561726e-05	3.96695550702e-05	5.1134165595e-05	0.000106159582098	3.00616916962e-05	2.42937865231e-05	4.35275445222e-05	1.91033342983e-05	1.22662271103e-05	2.97576613927e-05	1.63469019623e-05	3.15784938062e-05	2.74012641117e-05	3.92593749492e-05	1.59537640793e-05	3.61517968059e-05	1.10474387255e-05	4.03050484491e-05	2.47150214247e-05	2.89963889108e-05	3.95850560445e-05	5.70494550104e-05	2.49697723181e-05	2.63795028277e-05	4.2673300127e-05	2.32256135352e-05	3.97081133048e-05	2.82212688142e-05	2.93216789188e-05	4.7649252508e-05	5.79779330635e-05	4.4062490464e-05	5.04078602657e-05	2.52623016357e-05	2.80514178984e-05	0.000194534914735	1.51964847588e-05	3.61946516894e-05	2.05204572399e-05	3.55364731782e-05	5.85818681608e-05	2.9721242608e-05	6.00463672329e-05	6.2951560143e-05	0.000127148370774	4.57383603354e-05	2.55660167849e-05	4.89822871584e-05	3.08386021532e-05	1.44376222987e-05	2.12242828778e-05	3.84012619245e-05	1.27002637901e-05
