SampleID	Condition	TimePoint	Treatment	Date
846.16SArchBac	Control	Fresh	Control.Fresh	2015-10-02
847.16SArchBac	Control	Fresh	Control.Fresh	2015-10-02
848.16SArchBac	Control	Fresh	Control.Fresh	2015-10-02
851.16SArchBac	Control	Day.1	Control.Day.1	2015-10-03
852.16SArchBac	Control	Day.1	Control.Day.1	2015-10-03
853.16SArchBac	Control	Day.1	Control.Day.1	2015-10-03
856.16SArchBac	Control	Day.2	Control.Day.2	2015-10-04
857.16SArchBac	Control	Day.2	Control.Day.2	2015-10-04
858.16SArchBac	Control	Day.2	Control.Day.2	2015-10-04
861.16SArchBac	Control	Day.4	Control.Day.4	2015-10-06
862.16SArchBac	Control	Day.4	Control.Day.4	2015-10-06
863.16SArchBac	Control	Day.4	Control.Day.4	2015-10-06
866.16SArchBac	Control	Day.8	Control.Day.8	2015-10-10
867.16SArchBac	Control	Day.8	Control.Day.8	2015-10-10
868.16SArchBac	Control	Day.8	Control.Day.8	2015-10-10
871.16SArchBac	Control	Day.16	Control.Day.16	2015-10-18
872.16SArchBac	Control	Day.16	Control.Day.16	2015-10-18
873.16SArchBac	Control	Day.16	Control.Day.16	2015-10-18
876.16SArchBac	Control	Day.32	Control.Day.32	2015-11-03
877.16SArchBac	Control	Day.32	Control.Day.32	2015-11-03
878.16SArchBac	Control	Day.32	Control.Day.32	2015-11-03
881.16SArchBac	Control	Day.64	Control.Day.64	2015-12-05
882.16SArchBac	Control	Day.64	Control.Day.64	2015-12-05
883.16SArchBac	Control	Day.64	Control.Day.64	2015-12-05
886.16SArchBac	Lb40788	Fresh	Lb40788.Fresh	2015-10-02
887.16SArchBac	Lb40788	Fresh	Lb40788.Fresh	2015-10-02
888.16SArchBac	Lb40788	Fresh	Lb40788.Fresh	2015-10-02
891.16SArchBac	Lb40788	Day.1	Lb40788.Day.1	2015-10-03
892.16SArchBac	Lb40788	Day.1	Lb40788.Day.1	2015-10-03
893.16SArchBac	Lb40788	Day.1	Lb40788.Day.1	2015-10-03
896.16SArchBac	Lb40788	Day.2	Lb40788.Day.2	2015-10-04
897.16SArchBac	Lb40788	Day.2	Lb40788.Day.2	2015-10-04
898.16SArchBac	Lb40788	Day.2	Lb40788.Day.2	2015-10-04
901.16SArchBac	Lb40788	Day.4	Lb40788.Day.4	2015-10-06
902.16SArchBac	Lb40788	Day.4	Lb40788.Day.4	2015-10-06
903.16SArchBac	Lb40788	Day.4	Lb40788.Day.4	2015-10-06
906.16SArchBac	Lb40788	Day.8	Lb40788.Day.8	2015-10-10
907.16SArchBac	Lb40788	Day.8	Lb40788.Day.8	2015-10-10
908.16SArchBac	Lb40788	Day.8	Lb40788.Day.8	2015-10-10
911.16SArchBac	Lb40788	Day.16	Lb40788.Day.16	2015-10-18
912.16SArchBac	Lb40788	Day.16	Lb40788.Day.16	2015-10-18
913.16SArchBac	Lb40788	Day.16	Lb40788.Day.16	2015-10-18
916.16SArchBac	Lb40788	Day.32	Lb40788.Day.32	2015-11-03
917.16SArchBac	Lb40788	Day.32	Lb40788.Day.32	2015-11-03
918.16SArchBac	Lb40788	Day.32	Lb40788.Day.32	2015-11-03
921.16SArchBac	Lb40788	Day.64	Lb40788.Day.64	2015-12-05
