Taxon	858.ITS	1002.ITS	927.ITS	902.ITS	988.ITS	851.ITS	987.ITS	957.ITS	997.ITS	953.ITS	848.ITS	972.ITS	986.ITS	918.ITS	931.ITS	903.ITS	967.ITS	1003.ITS	887.ITS	867.ITS	872.ITS	936.ITS	982.ITS	873.ITS	992.ITS	901.ITS	938.ITS	996.ITS	937.ITS	956.ITS	917.ITS	906.ITS	928.ITS	897.ITS	922.ITS	977.ITS	847.ITS	961.ITS	907.ITS	983.ITS	993.ITS	921.ITS	861.ITS	908.ITS	943.ITS	866.ITS	913.ITS	852.ITS	863.ITS	881.ITS	853.ITS	981.ITS	998.ITS	966.ITS	888.ITS	878.ITS	968.ITS	962.ITS	876.ITS	978.ITS	892.ITS	877.ITS	958.ITS	991.ITS	896.ITS	893.ITS	948.ITS	963.ITS	871.ITS	926.ITS	942.ITS	886.ITS	868.ITS	856.ITS	911.ITS	971.ITS	973.ITS	891.ITS	951.ITS	941.ITS	947.ITS	933.ITS	846.ITS	1001.ITS	882.ITS	898.ITS	862.ITS	857.ITS	912.ITS	923.ITS	932.ITS	952.ITS	916.ITS	976.ITS	946.ITS
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Dothiorella	2.61185280292e-05	4.73936279267e-05	3.46110582331e-05	2.58450344819e-05	4.116540298e-05	3.04804647229e-05	9.29071253045e-05	2.95009029719e-05	4.66927454297e-05	3.1444774214e-05	1.82825479587e-05	3.10638602951e-05	3.74609796188e-05	3.61061851958e-05	2.34771123867e-05	3.87121655537e-05	8.45490119295e-05	4.95016701331e-05	3.72744716403e-05	4.46828591915e-05	2.43484242614e-05	2.64042485439e-05	3.90912625602e-05	3.57644066533e-05	4.09895475353e-05	2.51624046686e-05	2.82139179257e-05	3.77256900608e-05	3.74768408541e-05	2.41844901079e-05	3.93250424492e-05	3.5597175644e-05	1.98860478469e-05	6.33509421062e-05	3.23668317409e-05	5.41762265489e-05	3.13047084674e-05	0.000433366198566	6.90454938153e-05	3.46885199979e-05	4.65708113608e-05	2.82684573732e-05	2.09891897651e-05	3.59908053678e-05	3.18240027908e-05	2.65910351638e-05	4.07695484502e-05	2.09859995402e-05	2.27615418958e-05	1.92537126916e-05	3.07754174172e-05	3.39665978691e-05	3.77737181056e-05	3.26358404297e-05	2.54845183174e-05	0.000105127871399	2.8494217176e-05	2.55311036926e-05	2.20210498795e-05	3.22863661726e-05	2.36269328374e-05	2.57052657155e-05	2.26417385452e-05	4.54311677425e-05	4.08424785484e-05	3.60497486531e-05	2.71612097483e-05	2.53742234783e-05	2.73194445414e-05	2.14016011133e-05	0.000214264554502	2.85223384866e-05	2.31066917857e-05	2.11936735939e-05	2.85018246597e-05	3.61174870897e-05	3.52367579085e-05	3.42680545447e-05	3.05108947625e-05	2.5702463274e-05	4.79115029341e-05	3.46328532743e-05	2.11539986092e-05	4.0709803771e-05	1.85614761966e-05	3.20762684337e-05	2.30922967679e-05	4.71513539185e-05	3.20844118396e-05	4.48928106011e-05	2.36411104757e-05	2.60347296682e-05	2.63140715168e-05	3.80601190896e-05	3.10480590654e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiaceae; g__Trichomerium	7.83555840876e-05	0.00014218088378	0.000138334006632	7.75351034456e-05	0.00012349620894	9.14413941687e-05	0.000278721375914	8.85027089157e-05	0.000140078236289	0.000283303395705	5.48476438761e-05	9.31915808852e-05	0.000112382938856	0.000108318555588	7.04313371602e-05	0.000116136496661	0.000127025788258	0.000148505010399	0.000111823414921	0.000134048577575	7.30452727842e-05	7.92127456316e-05	0.000117273787681	0.00010729321996	0.000122968642606	7.54872140059e-05	8.46417537771e-05	0.000150902760243	0.000112430522562	0.000120999717281	0.000117975127348	0.000106791526932	9.94939765671e-05	0.000190052826319	9.71004952228e-05	0.000162528679647	9.39141254023e-05	6.84491154346e-05	0.000207136481446	0.000104065559994	0.000139712434082	8.48053721197e-05	0.000168114051781	0.000107972416104	9.54720083725e-05	7.97731054915e-05	0.00012230864535	6.29579986205e-05	6.82846256875e-05	5.77611380748e-05	0.000123101669669	0.000101899793607	0.000151215170888	0.00013064762958	0.000152825949018	7.88459035494e-05	8.5482651528e-05	0.000255473139172	6.60631496385e-05	9.68590985177e-05	7.08807985121e-05	0.000102902926766	6.79252156355e-05	0.000136293503228	0.000122527435645	0.000108149245959	8.14836292449e-05	7.61226704348e-05	8.19583336242e-05	6.42048033398e-05	6.43199467585e-05	8.55670154597e-05	0.000438807776601	8.48421901515e-05	8.5505473979e-05	0.000108352461269	0.000105710273726	0.000102804163634	9.15326842875e-05	7.71073898219e-05	0.000143734508802	0.000103898559823	6.34619958277e-05	0.000122129411313	5.56844285897e-05	9.62288053011e-05	6.92768903036e-05	0.000141454061756	9.62532355188e-05	0.000134678431803	9.46397320634e-05	7.81041890045e-05	0.000158052034652	0.000114180357269	9.31441771961e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_fam_Incertae_sedis; g__Arthrocatena	2.61185280292e-05	4.73936279267e-05	3.46110582331e-05	2.58450344819e-05	4.116540298e-05	3.04804647229e-05	9.29071253045e-05	2.95009029719e-05	4.66927454297e-05	3.1444774214e-05	1.82825479587e-05	3.10638602951e-05	3.74609796188e-05	3.61061851958e-05	2.34771123867e-05	3.87121655537e-05	4.23419294192e-05	4.95016701331e-05	0.000149335303578	4.46828591915e-05	2.43484242614e-05	2.64042485439e-05	3.90912625602e-05	3.57644066533e-05	4.09895475353e-05	2.51624046686e-05	2.82139179257e-05	3.77256900608e-05	3.74768408541e-05	9.68152271731e-05	3.93250424492e-05	3.5597175644e-05	1.98860478469e-05	6.33509421062e-05	3.23668317409e-05	5.41762265489e-05	3.13047084674e-05	2.28163718115e-05	6.90454938153e-05	3.46885199979e-05	4.65708113608e-05	2.82684573732e-05	2.09891897651e-05	3.59908053678e-05	3.18240027908e-05	2.65910351638e-05	4.07695484502e-05	2.09859995402e-05	2.27615418958e-05	1.92537126916e-05	3.07754174172e-05	3.39665978691e-05	3.77737181056e-05	3.26358404297e-05	2.54845183174e-05	2.62819678498e-05	2.8494217176e-05	2.55311036926e-05	2.20210498795e-05	3.22863661726e-05	2.36269328374e-05	2.57052657155e-05	2.26417385452e-05	4.54311677425e-05	4.08424785484e-05	3.60497486531e-05	2.71612097483e-05	2.53742234783e-05	2.73194445414e-05	2.14016011133e-05	2.14399822528e-05	2.85223384866e-05	2.31066917857e-05	2.11936735939e-05	2.85018246597e-05	3.61174870897e-05	3.52367579085e-05	3.42680545447e-05	3.05108947625e-05	2.5702463274e-05	4.79115029341e-05	3.46328532743e-05	2.11539986092e-05	4.0709803771e-05	1.85614761966e-05	3.20762684337e-05	2.30922967679e-05	4.71513539185e-05	3.20844118396e-05	4.48928106011e-05	7.09986215877e-05	2.60347296682e-05	2.63140715168e-05	3.80601190896e-05	3.10480590654e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_fam_Incertae_sedis; g__Capnobotryella	2.61185280292e-05	4.73936279267e-05	3.46110582331e-05	2.58450344819e-05	4.116540298e-05	3.04804647229e-05	9.29071253045e-05	2.95009029719e-05	4.66927454297e-05	0.000157424156256	1.82825479587e-05	3.10638602951e-05	3.74609796188e-05	3.61061851958e-05	2.34771123867e-05	3.87121655537e-05	4.23419294192e-05	4.95016701331e-05	3.72744716403e-05	4.46828591915e-05	2.43484242614e-05	2.64042485439e-05	3.90912625602e-05	3.57644066533e-05	4.09895475353e-05	2.51624046686e-05	2.82139179257e-05	3.77256900608e-05	3.74768408541e-05	2.41844901079e-05	3.93250424492e-05	3.5597175644e-05	1.98860478469e-05	6.33509421062e-05	0.000258832227245	5.41762265489e-05	3.13047084674e-05	2.28163718115e-05	6.90454938153e-05	3.46885199979e-05	4.65708113608e-05	2.82684573732e-05	2.09891897651e-05	3.59908053678e-05	3.18240027908e-05	2.65910351638e-05	4.07695484502e-05	2.09859995402e-05	2.27615418958e-05	1.92537126916e-05	3.07754174172e-05	3.39665978691e-05	3.77737181056e-05	3.26358404297e-05	2.54845183174e-05	5.25639356996e-05	2.8494217176e-05	2.55311036926e-05	2.20210498795e-05	3.22863661726e-05	2.36269328374e-05	0.000128608192481	2.26417385452e-05	9.08623354851e-05	4.08424785484e-05	3.60497486531e-05	2.71612097483e-05	2.53742234783e-05	2.73194445414e-05	2.14016011133e-05	2.14399822528e-05	2.85223384866e-05	2.31066917857e-05	2.11936735939e-05	2.85018246597e-05	3.61174870897e-05	3.52367579085e-05	3.42680545447e-05	0.0003664213171	2.5702463274e-05	4.79115029341e-05	3.46328532743e-05	2.11539986092e-05	4.0709803771e-05	1.85614761966e-05	3.20762684337e-05	2.30922967679e-05	4.71513539185e-05	3.20844118396e-05	4.48928106011e-05	2.36411104757e-05	2.60347296682e-05	2.63140715168e-05	0.000190180152033	3.10480590654e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_fam_Incertae_sedis; g__Elasticomyces	2.61185280292e-05	4.73936279267e-05	3.46110582331e-05	2.58450344819e-05	4.116540298e-05	3.04804647229e-05	9.29071253045e-05	2.95009029719e-05	4.66927454297e-05	3.1444774214e-05	1.82825479587e-05	3.10638602951e-05	3.74609796188e-05	3.61061851958e-05	2.34771123867e-05	3.87121655537e-05	0.000169098023859	4.95016701331e-05	3.72744716403e-05	4.46828591915e-05	2.43484242614e-05	2.64042485439e-05	3.90912625602e-05	3.57644066533e-05	4.09895475353e-05	2.51624046686e-05	2.82139179257e-05	3.77256900608e-05	3.74768408541e-05	2.41844901079e-05	3.93250424492e-05	3.5597175644e-05	3.97720956937e-05	6.33509421062e-05	3.23668317409e-05	5.41762265489e-05	6.25097204111e-05	2.28163718115e-05	6.90454938153e-05	3.46885199979e-05	4.65708113608e-05	2.82684573732e-05	0.000105079637932	3.59908053678e-05	3.18240027908e-05	2.65910351638e-05	4.07695484502e-05	2.09859995402e-05	2.27615418958e-05	1.92537126916e-05	3.07754174172e-05	3.39665978691e-05	3.77737181056e-05	3.26358404297e-05	2.54845183174e-05	2.62819678498e-05	2.8494217176e-05	2.55311036926e-05	2.20210498795e-05	3.22863661726e-05	2.36269328374e-05	2.57052657155e-05	2.26417385452e-05	4.54311677425e-05	4.08424785484e-05	3.60497486531e-05	2.71612097483e-05	2.53742234783e-05	2.73194445414e-05	4.28032022265e-05	2.14399822528e-05	2.85223384866e-05	2.31066917857e-05	2.11936735939e-05	2.85018246597e-05	3.61174870897e-05	3.52367579085e-05	3.42680545447e-05	3.05108947625e-05	2.5702463274e-05	4.79115029341e-05	3.46328532743e-05	2.11539986092e-05	4.0709803771e-05	1.85614761966e-05	3.20762684337e-05	2.30922967679e-05	4.71513539185e-05	3.20844118396e-05	4.48928106011e-05	2.36411104757e-05	2.60347296682e-05	2.63140715168e-05	3.80601190896e-05	3.10480590654e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_fam_Incertae_sedis; g__Friedmanniomyces	2.61185280292e-05	4.73936279267e-05	3.46110582331e-05	2.58450344819e-05	4.116540298e-05	3.04804647229e-05	9.29071253045e-05	2.95009029719e-05	4.66927454297e-05	3.1444774214e-05	1.82825479587e-05	3.10638602951e-05	3.74609796188e-05	3.61061851958e-05	2.34771123867e-05	3.87121655537e-05	4.23419294192e-05	4.95016701331e-05	0.000149335303578	4.46828591915e-05	2.43484242614e-05	2.64042485439e-05	3.90912625602e-05	3.57644066533e-05	4.09895475353e-05	2.51624046686e-05	2.82139179257e-05	3.77256900608e-05	3.74768408541e-05	2.41844901079e-05	3.93250424492e-05	3.5597175644e-05	1.98860478469e-05	6.33509421062e-05	3.23668317409e-05	5.41762265489e-05	3.13047084674e-05	2.28163718115e-05	6.90454938153e-05	3.46885199979e-05	4.65708113608e-05	2.82684573732e-05	2.09891897651e-05	3.59908053678e-05	3.18240027908e-05	2.65910351638e-05	4.07695484502e-05	2.09859995402e-05	2.27615418958e-05	1.92537126916e-05	3.07754174172e-05	3.39665978691e-05	3.77737181056e-05	3.26358404297e-05	2.54845183174e-05	2.62819678498e-05	2.8494217176e-05	2.55311036926e-05	2.20210498795e-05	3.22863661726e-05	2.36269328374e-05	2.57052657155e-05	2.26417385452e-05	4.54311677425e-05	4.08424785484e-05	3.60497486531e-05	2.71612097483e-05	2.53742234783e-05	2.73194445414e-05	2.14016011133e-05	2.14399822528e-05	2.85223384866e-05	2.31066917857e-05	2.11936735939e-05	2.85018246597e-05	3.61174870897e-05	3.52367579085e-05	3.42680545447e-05	3.05108947625e-05	2.5702463274e-05	4.79115029341e-05	3.46328532743e-05	2.11539986092e-05	4.0709803771e-05	1.85614761966e-05	3.20762684337e-05	2.30922967679e-05	4.71513539185e-05	3.20844118396e-05	4.48928106011e-05	2.36411104757e-05	2.60347296682e-05	2.63140715168e-05	3.80601190896e-05	3.10480590654e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_fam_Incertae_sedis; g__Rachicladosporium	5.22370560584e-05	9.47872558535e-05	0.000103722948399	5.16900689637e-05	8.233080596e-05	6.09609294458e-05	0.000185814250609	5.90018059438e-05	0.000186770981719	6.2889548428e-05	5.48476438761e-05	6.21277205901e-05	7.49219592375e-05	7.22123703917e-05	4.69542247735e-05	7.74243311073e-05	8.46838588385e-05	9.90033402662e-05	0.000111942123429	8.9365718383e-05	4.86968485228e-05	5.28084970877e-05	7.81825251205e-05	7.15288133065e-05	8.19790950705e-05	5.03248093372e-05	5.64278358514e-05	7.54513801215e-05	7.49536817082e-05	4.83689802158e-05	7.86500848984e-05	7.11943512879e-05	3.97720956937e-05	0.000126701884212	6.47336634818e-05	0.000108352453098	9.38144288785e-05	4.56327436231e-05	0.000138090987631	6.93770399959e-05	9.31416227216e-05	5.65369147465e-05	4.19783795303e-05	7.19816107357e-05	6.36480055817e-05	5.31820703277e-05	8.15390969003e-05	4.19719990803e-05	4.55230837917e-05	3.85074253832e-05	6.15508348345e-05	6.79331957383e-05	7.55474362111e-05	9.80117891499e-05	7.64535549523e-05	7.88459035494e-05	8.53916156904e-05	5.10622073852e-05	4.4042099759e-05	6.45727323451e-05	4.72538656747e-05	5.1410531431e-05	4.52834770903e-05	9.08623354851e-05	8.16849570967e-05	7.20994973063e-05	5.43224194966e-05	5.07484469566e-05	5.46388890828e-05	4.28032022265e-05	4.28799645057e-05	8.56578509326e-05	4.62133835714e-05	4.23873471879e-05	5.70036493193e-05	7.22349741794e-05	7.04735158171e-05	6.85361090894e-05	6.1021789525e-05	5.14049265479e-05	9.58230058683e-05	6.92657065487e-05	4.23079972185e-05	8.1419607542e-05	3.71229523931e-05	6.41525368674e-05	4.61845935357e-05	9.4302707837e-05	6.41688236792e-05	8.97856212021e-05	4.72822209513e-05	5.20694593364e-05	5.26281430336e-05	7.61202381793e-05	6.20961181307e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_fam_Incertae_sedis; g__Toxicocladosporium	2.61185280292e-05	4.73936279267e-05	0.000103722948399	2.58450344819e-05	4.116540298e-05	3.04804647229e-05	9.29071253045e-05	2.95009029719e-05	4.66927454297e-05	3.1444774214e-05	1.82825479587e-05	3.10638602951e-05	3.74609796188e-05	3.61061851958e-05	2.34771123867e-05	3.87121655537e-05	0.000295988965208	4.95016701331e-05	0.000149335303578	4.46828591915e-05	2.43484242614e-05	2.64042485439e-05	3.90912625602e-05	3.57644066533e-05	4.09895475353e-05	2.51624046686e-05	2.82139179257e-05	3.77256900608e-05	3.74768408541e-05	2.41844901079e-05	3.93250424492e-05	3.5597175644e-05	0.000179101905287	6.33509421062e-05	3.23668317409e-05	5.41762265489e-05	3.13047084674e-05	2.28163718115e-05	6.90454938153e-05	3.46885199979e-05	4.65708113608e-05	2.82684573732e-05	0.000231215310183	3.59908053678e-05	3.18240027908e-05	2.65910351638e-05	4.07695484502e-05	2.09859995402e-05	2.27615418958e-05	1.92537126916e-05	3.07754174172e-05	3.39665978691e-05	3.77737181056e-05	0.00013064762958	2.54845183174e-05	2.62819678498e-05	2.8494217176e-05	2.55311036926e-05	2.20210498795e-05	3.22863661726e-05	2.36269328374e-05	2.57052657155e-05	2.26417385452e-05	4.54311677425e-05	4.08424785484e-05	3.60497486531e-05	2.71612097483e-05	2.53742234783e-05	2.73194445414e-05	0.000107008005566	2.14399822528e-05	5.7135512446e-05	2.31066917857e-05	2.11936735939e-05	0.000142418641315	3.61174870897e-05	3.52367579085e-05	3.42680545447e-05	3.05108947625e-05	2.5702463274e-05	4.79115029341e-05	3.46328532743e-05	6.34619958277e-05	4.0709803771e-05	1.85614761966e-05	3.20762684337e-05	2.30922967679e-05	4.71513539185e-05	6.42710033347e-05	4.48928106011e-05	2.36411104757e-05	2.60347296682e-05	2.63140715168e-05	3.80601190896e-05	3.10480590654e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_fam_Incertae_sedis;Other	2.61185280292e-05	4.73936279267e-05	3.46110582331e-05	2.58450344819e-05	4.116540298e-05	3.04804647229e-05	9.29071253045e-05	2.95009029719e-05	4.66927454297e-05	3.1444774214e-05	1.82825479587e-05	3.10638602951e-05	3.74609796188e-05	3.61061851958e-05	2.34771123867e-05	3.87121655537e-05	4.23419294192e-05	4.95016701331e-05	3.72744716403e-05	4.46828591915e-05	2.43484242614e-05	2.64042485439e-05	3.90912625602e-05	3.57644066533e-05	4.09895475353e-05	2.51624046686e-05	2.82139179257e-05	3.77256900608e-05	3.74768408541e-05	2.41844901079e-05	3.93250424492e-05	3.5597175644e-05	1.98860478469e-05	6.33509421062e-05	3.23668317409e-05	5.41762265489e-05	3.13047084674e-05	2.28163718115e-05	6.90454938153e-05	3.46885199979e-05	4.65708113608e-05	2.82684573732e-05	2.09891897651e-05	3.59908053678e-05	3.18240027908e-05	2.65910351638e-05	4.07695484502e-05	2.09859995402e-05	2.27615418958e-05	1.92537126916e-05	3.07754174172e-05	3.39665978691e-05	3.77737181056e-05	3.26358404297e-05	2.54845183174e-05	2.62819678498e-05	2.8494217176e-05	2.55311036926e-05	2.20210498795e-05	3.22863661726e-05	2.36269328374e-05	2.57052657155e-05	2.26417385452e-05	4.54311677425e-05	4.08424785484e-05	3.60497486531e-05	2.71612097483e-05	0.00015232589396	2.73194445414e-05	2.14016011133e-05	2.14399822528e-05	2.85223384866e-05	2.31066917857e-05	2.11936735939e-05	2.85018246597e-05	3.61174870897e-05	3.52367579085e-05	3.42680545447e-05	3.05108947625e-05	2.5702463274e-05	4.79115029341e-05	3.46328532743e-05	2.11539986092e-05	4.0709803771e-05	1.85614761966e-05	3.20762684337e-05	2.30922967679e-05	4.71513539185e-05	3.20844118396e-05	4.48928106011e-05	2.36411104757e-05	2.60347296682e-05	2.63140715168e-05	3.80601190896e-05	3.10480590654e-05
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Davidiellaceae; g__Cladosporium	0.0170739132027	0.0613909459873	0.175810066858	0.0585733540966	0.0590423911159	0.0199851533129	0.0399684700096	0.0767382373605	0.0634321687817	0.065885013671	0.182315671029	0.0346925136393	0.0618718733187	0.0520938893778	0.0257449269128	0.0391983806141	0.22945496093	0.0406205065681	0.244455481698	0.0383557382276	0.0161572149335	0.0224384306819	0.0385882554309	0.0311460596932	0.0535538197964	0.0320506327908	0.0768617209825	0.0362737285338	0.0427329677839	0.0653753127661	0.0674174795195	0.0285584498348	0.218214574535	0.0308086787603	0.0607216103195	0.0380363254163	0.248447426035	0.0488774489935	0.0465273264912	0.0106541753088	0.0529241900879	0.0698743318997	0.0448397943273	0.0228937739302	0.0652224880489	0.0342274436092	0.0477984250311	0.0261179758277	0.0513161861601	0.0207642761253	0.0445157131465	0.037045343158	0.0797134923631	0.251435064635	0.277762663817	0.0620355718902	0.18039078954	0.0769049526451	0.0239962118184	0.0511156523179	0.122950796235	0.0396211469526	0.0815274203352	0.0458233180444	0.0191714851987	0.0333341153649	0.0212371528335	0.0413394432315	0.0112347552975	0.0988139273688	0.0175053735224	0.283021623838	0.0657281547435	0.0724258697269	0.0431644300124	0.0447821295719	0.0988522355535	0.141920056558	0.0831115804731	0.0763806082189	0.0351173236695	0.0286620394243	0.215835734673	0.066160516695	0.0145634164582	0.0668769895407	0.0242576539089	0.0189285996537	0.0507400668091	0.0527222020094	0.0345933442896	0.0638916234538	0.0546341300715	0.0331715617681	0.0319592265527
